Código Ámbito,Ámbito,Código área (FAO),Área,Código Elemento,Elemento,Código Producto (FAO),Producto,Código año,Año,Unidad,Valor,Símbolo,Descripción del Símbolo
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","486","Bananos","2019","2019","índice","82.02","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","399","Berenjenas","2009","2009","índice","102.15","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","399","Berenjenas","2010","2010","índice","68.09","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","399","Berenjenas","2011","2011","índice","78.92","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","399","Berenjenas","2012","2012","índice","100.31","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","399","Berenjenas","2013","2013","índice","105.59","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","399","Berenjenas","2014","2014","índice","85.11","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","399","Berenjenas","2015","2015","índice","102.85","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","399","Berenjenas","2016","2016","índice","112.05","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","399","Berenjenas","2017","2017","índice","126.02","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","399","Berenjenas","2018","2018","índice","170.7","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","399","Berenjenas","2019","2019","índice","209.49","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","661","Cacao, en grano","2009","2009","índice","84.25","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","661","Cacao, en grano","2010","2010","índice","74.44","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","661","Cacao, en grano","2011","2011","índice","70.05","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","661","Cacao, en grano","2012","2012","índice","78.47","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","661","Cacao, en grano","2013","2013","índice","88.01","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","661","Cacao, en grano","2014","2014","índice","89.88","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","661","Cacao, en grano","2015","2015","índice","103.19","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","661","Cacao, en grano","2016","2016","índice","106.93","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","661","Cacao, en grano","2017","2017","índice","168.12","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","661","Cacao, en grano","2018","2018","índice","184.5","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","661","Cacao, en grano","2019","2019","índice","192.36","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","656","Café, verde","2009","2009","índice","59.22","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","656","Café, verde","2010","2010","índice","67.64","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","656","Café, verde","2011","2011","índice","59.2","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","656","Café, verde","2012","2012","índice","58.37","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","656","Café, verde","2013","2013","índice","82.53","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","656","Café, verde","2014","2014","índice","92.03","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","656","Café, verde","2015","2015","índice","104.58","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","656","Café, verde","2016","2016","índice","103.38","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","656","Café, verde","2017","2017","índice","107.6","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","656","Café, verde","2018","2018","índice","102.77","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","656","Café, verde","2019","2019","índice","111.83","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","394","Calabazas, zapayo, calabaza confitera","2009","2009","índice","51.52","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","394","Calabazas, zapayo, calabaza confitera","2010","2010","índice","54.73","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","394","Calabazas, zapayo, calabaza confitera","2011","2011","índice","61.18","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","394","Calabazas, zapayo, calabaza confitera","2012","2012","índice","82.31","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","394","Calabazas, zapayo, calabaza confitera","2013","2013","índice","78.24","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","394","Calabazas, zapayo, calabaza confitera","2014","2014","índice","86.16","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","394","Calabazas, zapayo, calabaza confitera","2015","2015","índice","98.99","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","394","Calabazas, zapayo, calabaza confitera","2016","2016","índice","114.85","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","394","Calabazas, zapayo, calabaza confitera","2017","2017","índice","128.47","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","394","Calabazas, zapayo, calabaza confitera","2018","2018","índice","110.22","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","394","Calabazas, zapayo, calabaza confitera","2019","2019","índice","140.1","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","972","Carne indígena, búfalo","2014","2014","índice","72.49","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","972","Carne indígena, búfalo","2015","2015","índice","103.34","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","972","Carne indígena, búfalo","2016","2016","índice","124.16","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","972","Carne indígena, búfalo","2017","2017","índice","135.99","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","972","Carne indígena, búfalo","2018","2018","índice","172.48","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","972","Carne indígena, búfalo","2019","2019","índice","153.44","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1120","Carne indígena, caballo","2009","2009","índice","212.49","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1120","Carne indígena, caballo","2010","2010","índice","180.51","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1120","Carne indígena, caballo","2011","2011","índice","166.52","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1120","Carne indígena, caballo","2012","2012","índice","149.59","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1120","Carne indígena, caballo","2013","2013","índice","134.26","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1120","Carne indígena, caballo","2014","2014","índice","92.73","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1120","Carne indígena, caballo","2015","2015","índice","95.81","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1120","Carne indígena, caballo","2016","2016","índice","111.45","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1120","Carne indígena, caballo","2017","2017","índice","110.56","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1120","Carne indígena, caballo","2018","2018","índice","107.28","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1120","Carne indígena, caballo","2019","2019","índice","126.19","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1032","Carne indígena, caprino","2009","2009","índice","111.58","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1032","Carne indígena, caprino","2010","2010","índice","111.58","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1032","Carne indígena, caprino","2011","2011","índice","111.86","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1032","Carne indígena, caprino","2012","2012","índice","82.12","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1032","Carne indígena, caprino","2013","2013","índice","91.77","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1032","Carne indígena, caprino","2014","2014","índice","105","Fc","Datos calculados"
"QI","Indices de producción","44","Colombia","432","Índice de producción Bruto (base 2014-2016)","1032","Carne indígena, caprino","2015","2015","índice","109.89","Fc","Datos calculados"
